risk_levels,prior_risk,TRS_if_healthy,TRS_if_sick,GRS_if_healthy,GRS_if_sick
0,0.100535100000000,0.353373470000000,0.031896000000000,0.008565800000000,0.008565800000000
0.01,0.101393260000000,0.141278130000000,0.041167490000000,0.073585970000000,0.073585970000000
0.02,0.084026440000000,0.087250430000000,0.063103410000000,0.158260740000000,0.158260740000000
0.03,0.060769890000000,0.063134980000000,0.052897150000000,0.187036490000000,0.187036490000000
0.04,0.037670010000000,0.054772950000000,0.051324270000000,0.161590290000000,0.161590290000000
0.05,0.063081670000000,0.043863100000000,0.057404860000000,0.111660870000000,0.111660870000000
0.06,0.038858530000000,0.037934800000000,0.042334770000000,0.077548010000000,0.077548010000000
0.07,0.033167310000000,0.023674130000000,0.046116250000000,0.047095427800000,0.047095450000000
0.08,0.025390660000000,0.022912800000000,0.038048090000000,0.036851370000000,0.036851390000000
0.09,0.029355530000000,0.019014450000000,0.040787800000000,0.024204660000000,0.024204660000000
